year,season,fishery,area,obs,pred
1954,3,18,1,4.41055265411286,5.08349999627339
1955,3,18,1,3.14558536994056,4.79224985749702
1956,3,18,1,3.55729348962612,4.65527041341035
1957,3,18,1,3.81522637074637,4.53125978922861
1958,3,18,1,4.19964500878792,4.41055265411286
1959,3,18,1,5.01784219669716,4.25885353150056
1960,3,18,1,6.09214355947096,4.13712044025139
1961,3,18,1,5.98945246638311,3.98285938585551
1962,3,18,1,4.31889680313948,3.72102809602082
1963,3,18,1,2.67567049158485,3.34009750608129
1964,3,18,1,2.42249984306371,2.92121609362507
1965,3,18,1,2.71610807261455,2.48258411612847
1966,3,18,1,2.44807010034027,2.08777728487615
1967,3,18,1,1.94740944576486,1.88080523193448
1968,3,18,1,1.7146346056709,1.80507113322996
1969,3,18,1,1.65433646343886,1.6929964393691
1970,3,18,1,1.54774649679999,1.46491907201822
1971,3,18,1,1.23417162988813,1.22458253725293
1972,3,18,1,1.07338799863867,1.04769236713855
1973,3,18,1,0.989099841977778,0.867708022949814
1974,3,18,1,0.580305842365379,0.727457282407998
1975,3,18,1,0.588134274005985,0.691218013938206
1976,3,18,1,0.851036721790132,0.701383826797495
1977,3,18,1,0.863035028067439,0.677327751419737
1978,3,18,1,0.935241962265857,0.746469888292486
1979,3,18,1,0.811882218865155,0.878095430920561
1980,3,18,1,0.857958113028482,0.937789283189168
1981,3,18,1,0.969776157091795,0.851547497040458
1982,3,18,1,0.754198260935878,0.73454795219917
1983,3,18,1,0.847300386180549,0.672804824210878
1984,3,18,1,0.696978998466873,0.665377985869836
1985,3,18,1,0.700122471469621,0.719786959744245
1986,3,18,1,0.916796271401842,0.758737053262104
1987,3,18,1,0.932701560640946,0.808075325643413
1988,3,18,1,0.933672074843922,0.771900209205252
1989,3,18,1,0.687701776095063,0.758206123172031
1990,3,18,1,0.777011599620041,0.761625739091524
1991,3,18,1,0.655734039393442,0.714837524909058
1992,3,18,1,0.872493565253825,0.689630039376925
1993,3,18,1,0.879149777919344,0.741411112383323
1994,3,18,1,0.948740465368752,0.797080182386076
1995,3,18,1,0.883114866678604,0.850016090225398
1996,3,18,1,0.837277267422486,0.860449802760116
1997,3,18,1,0.952085916346282,0.889585193163411
1998,3,18,1,0.856586477648556,0.847215660378292
1999,3,18,1,0.612687659887069,0.882496902584595
2000,3,18,1,0.67929485281727,0.922000051102352
2001,3,18,1,0.663384843121207,0.850611309791099
2002,3,18,1,0.69586472372683,0.641593726741649
2003,3,18,1,0.520429940692978,0.534512586830556
2004,3,18,1,0.457947834420542,0.541235927501864
2005,3,18,1,0.57001078344952,0.518663483573411
2006,3,18,1,0.692532576603756,0.560514593631374
2007,3,18,1,0.76330316020419,0.622009445914843
2008,3,18,1,0.557997944667046,0.671729197223198
2009,3,18,1,0.644358519811655,0.629455574918482
2010,3,18,1,0.6298333615881,0.467339175062547
2011,3,18,1,0.472791874004341,0.50288186364298
2012,3,18,1,0.561019283842171,0.56739475532327
2013,3,18,1,0.518611619818285,0.566884329769432
2014,3,18,1,0.53424539734008,0.566147858950484
2015,3,18,1,0.610485949767537,0.605803259448425
2016,3,18,1,0.483840486467991,0.639991745735418
2017,3,18,1,0.503586391306371,0.615143318569772
2018,3,18,1,0.441975866090661,0.534085147759517
2019,3,18,1,0.466965453231161,0.493121344666296
2020,3,18,1,0.377720792679215,0.472224864029562
2021,3,18,1,0.384889114678645,0.473880546808352
2022,3,18,1,0.533177974324224,0.464636453316872
1992,1,19,1,1.85929986463575,0.831686260518891
1993,1,19,1,0.849251419897458,0.888784926663507
1994,1,19,1,1.00123576292654,0.832768155737091
1995,1,19,1,1.31048854132467,0.952962238435672
1996,1,19,1,1.2131253943371,1.02751164432455
1997,1,19,1,0.799395069879511,0.875990528779274
1998,1,19,1,1.99291820650576,0.635972471744097
1999,1,19,1,1.36957435255539,0.610485949767537
2000,1,19,1,0.96561507236001,0.909427498481204
2001,1,19,1,0.81034110716904,0.938023759818322
2002,1,19,1,0.741707736149074,0.978612036978422
2003,1,19,1,1.03600295898879,1.35581127214809
2004,1,19,1,1.05045142463439,1.17503742717063
2005,1,19,1,0.734694876481548,0.899784489898721
2006,1,19,1,0.882673419616227,0.792232792842566
2007,1,19,1,1.03363322659189,1.0335712104588
2008,1,19,1,1.33642748802547,1.28261376528
2009,1,19,1,0.83251836276119,1.23491235506139
2010,1,19,1,1.17104908394383,1.05790443154118
2011,1,19,1,1.14912410000361,1.22140275816017
2012,1,19,1,0.992144020777304,1.40550968201061
2013,1,19,1,0.812531984511851,1.14373588894836
2014,1,19,1,0.869097467045395,0.89341864550985
2015,1,19,1,0.923485666784346,1.0834604074726
2016,1,19,1,0.994049773137728,1.155923972091
2017,1,19,1,0.679634585169689,0.878886072543752
2018,1,19,1,1.16148574473278,0.772904332015631
2019,1,19,1,0.909409310113118,1.23454193692038
2020,1,19,1,0.960520455768792,1.43505044226791
2021,1,19,1,0.974734648899546,1.2080409524829
2022,1,19,1,0.665444526995424,0.929954145466885
1954,3,20,2,4.21226286112941,3.21555509294288
1955,3,20,2,3.11740211648833,3.14244135683917
1956,3,20,2,3.11428627255346,3.11428627255346
1957,3,20,2,2.4912883841183,3.08638344715858
1958,3,20,2,3.38380223891719,3.05873062051039
1959,3,20,2,3.53955141432887,3.02526896022077
1960,3,20,2,2.8892588039239,3.064854203293
1961,3,20,2,2.77596934578796,2.73737655483049
1962,3,20,2,2.8462433443487,2.51985157253255
1963,3,20,2,2.15631339080585,2.05114874577944
1964,3,20,2,1.77287052769331,1.61963367964734
1965,3,20,2,1.39305614627833,1.58043480149429
1966,3,20,2,2.15609777024798,1.64197535207335
1967,3,20,2,1.83473489558731,1.79966403453364
1968,3,20,2,1.4903336186074,1.45673845232873
1969,3,20,2,0.903933032885864,1.10993338498907
1970,3,20,2,1.74298646297704,1.1124891698004
1971,3,20,2,1.05128160913955,0.985259717477067
1972,3,20,2,1.03629308043242,0.878973965545583
1973,3,20,2,1.14636950899501,0.792629008284594
1974,3,20,2,0.503586391306371,0.66831209932356
1975,3,20,2,0.345072755043384,0.598756664278473
1976,3,20,2,0.392900059884928,0.602540738581665
1977,3,20,2,0.722310627946459,0.771591510865353
1978,3,20,2,1.34447015683205,1.00709907984139
1979,3,20,2,0.925834301881847,0.951981192655392
1980,3,20,2,0.665710758048883,0.805171484521264
1981,3,20,2,0.591200537606868,0.683929798772698
1982,3,20,2,0.474117546326699,0.60865723635988
1983,3,20,2,0.516438018772437,0.618659647502622
1984,3,20,2,0.705604779954901,0.725278180847441
1985,3,20,2,0.596605015578511,0.751863866507801
1986,3,20,2,0.576546086832947,0.71533808635256
1987,3,20,2,0.738082257917586,0.713551974706502
1988,3,20,2,0.631852056534477,0.770974484500115
1989,3,20,2,0.538590358394758,0.639352073878917
1990,3,20,2,0.558779688882846,0.645519409634716
1991,3,20,2,0.596247159936592,0.602842084281103
1992,3,20,2,0.949699177306805,0.730519028159425
1993,3,20,2,0.773832373927832,0.856243911575279
1994,3,20,2,0.810746379032147,0.734988813215569
1995,3,20,2,1.07725915934219,0.88674307036704
1996,3,20,2,0.935008180999166,0.845015760770075
1997,3,20,2,0.800434959251995,0.866840748636293
1998,3,20,2,1.04348909805405,0.881967563260722
1999,3,20,2,0.765213805416088,1.00769142823369
2000,3,20,2,0.76712923321676,0.918218407493262
2001,3,20,2,0.841810794172327,0.822176653566463
2002,3,20,2,0.547331843295824,0.624814795724506
2003,3,20,2,0.588310740756876,0.805574170926737
2004,3,20,2,0.63584528996835,0.637054544447261
2005,3,20,2,0.834769199602998,0.808641176396021
2006,3,20,2,0.923725804274231,0.928560259924195
2007,3,20,2,0.846199611337188,0.970105937044621
2008,3,20,2,0.610791269065884,0.85521703513048
2009,3,20,2,1.05927000886587,0.780437983174292
2010,3,20,2,0.847300386180549,0.824317094232821
2011,3,20,2,1.12580687410199,0.950820483776735
2012,3,20,2,0.945529680546314,0.894938748929031
2013,3,20,2,0.878798188330781,0.830522714426476
2014,3,20,2,1.04373956549248,0.8780076257678
2015,3,20,2,1.22372562942958,0.991012630030762
2016,3,20,2,1.1357576939857,0.787099979404531
2017,3,20,2,0.734327620864863,0.728185103540321
2018,3,20,2,0.645519409634716,0.737123374391628
2019,3,20,2,0.713694699373435,0.799075375794639
2020,3,20,2,0.772749766606284,0.65252880184555
2021,3,20,2,0.751037270965539,0.50854579934885
2022,3,20,2,1.00203005778283,0.785763046154784
