year,area,stage,f
1954,1,adult,0.00665356510007503
1955,1,adult,0.0123543279498808
1956,1,adult,0.00872141283465171
1957,1,adult,0.015034180362942
1958,1,adult,0.0221723053264143
1959,1,adult,0.0334793267689913
1960,1,adult,0.0380198051870455
1961,1,adult,0.0403598899699431
1962,1,adult,0.0529203071063253
1963,1,adult,0.0541495546586312
1964,1,adult,0.0538118016296477
1965,1,adult,0.0818391460944128
1966,1,adult,0.131522088479278
1967,1,adult,0.135925275388672
1968,1,adult,0.112339647279237
1969,1,adult,0.107660996234125
1970,1,adult,0.153210940681286
1971,1,adult,0.190574319938087
1972,1,adult,0.187835809402057
1973,1,adult,0.252053187960146
1974,1,adult,0.257669214917063
1975,1,adult,0.146640396486102
1976,1,adult,0.120512236809081
1977,1,adult,0.235029188716075
1978,1,adult,0.194957904577151
1979,1,adult,0.141998829974152
1980,1,adult,0.166310748913743
1981,1,adult,0.196566305780878
1982,1,adult,0.214618429184218
1983,1,adult,0.165652526569413
1984,1,adult,0.158006581435424
1985,1,adult,0.132392045160141
1986,1,adult,0.158444913737671
1987,1,adult,0.113568174840125
1988,1,adult,0.181837109662804
1989,1,adult,0.153328966110774
1990,1,adult,0.112349635044474
1991,1,adult,0.16760533021998
1992,1,adult,0.201361457490793
1993,1,adult,0.155484574505585
1994,1,adult,0.156253311763201
1995,1,adult,0.138164265938
1996,1,adult,0.158234331980861
1997,1,adult,0.165140490244804
1998,1,adult,0.246409660509335
1999,1,adult,0.162160352630263
2000,1,adult,0.168588921185195
2001,1,adult,0.276973713027475
2002,1,adult,0.460686611720064
2003,1,adult,0.456635583266466
2004,1,adult,0.394652256123104
2005,1,adult,0.431981243429417
2006,1,adult,0.395424687734951
2007,1,adult,0.373304794741322
2008,1,adult,0.301256646450814
2009,1,adult,0.456916408550702
2010,1,adult,0.708327788104054
2011,1,adult,0.459012872648152
2012,1,adult,0.422580031594121
2013,1,adult,0.473858981843133
2014,1,adult,0.483712199233849
2015,1,adult,0.433667351997514
2016,1,adult,0.391819576655891
2017,1,adult,0.419139467579799
2018,1,adult,0.460528538953787
2019,1,adult,0.481688468572679
2020,1,adult,0.472618410323108
2021,1,adult,0.392294982022062
2022,1,adult,0.478830469352353
1954,2,adult,9.63929225224308e-12
1955,2,adult,9.63929225224308e-12
1956,2,adult,9.63929225224308e-12
1957,2,adult,3.91157806880659e-05
1958,2,adult,0.00046818866516097
1959,2,adult,0.00157104843738609
1960,2,adult,0.00227088428158154
1961,2,adult,0.00231609791189992
1962,2,adult,0.0079981872881337
1963,2,adult,0.02732043271565
1964,2,adult,0.0389616786851677
1965,2,adult,0.0231403236812801
1966,2,adult,0.0266157823951868
1967,2,adult,0.0549470189187203
1968,2,adult,0.0476985444886831
1969,2,adult,0.0223242829744787
1970,2,adult,0.0307010669166577
1971,2,adult,0.0819796121946165
1972,2,adult,0.143090793509646
1973,2,adult,0.0908792919256959
1974,2,adult,0.0451254045896537
1975,2,adult,0.0447072534180103
1976,2,adult,0.0409010881252724
1977,2,adult,0.0400307918334646
1978,2,adult,0.117201584947163
1979,2,adult,0.0357202782759655
1980,2,adult,0.027718341770896
1981,2,adult,0.0409221242214244
1982,2,adult,0.0619290077037251
1983,2,adult,0.0539337013132269
1984,2,adult,0.029521490512984
1985,2,adult,0.0307139529458155
1986,2,adult,0.0453073068359796
1987,2,adult,0.0677996995354277
1988,2,adult,0.0639336277206407
1989,2,adult,0.0757080229148483
1990,2,adult,0.0305079374971358
1991,2,adult,0.0580537117363457
1992,2,adult,0.0849827108842254
1993,2,adult,0.047916252106701
1994,2,adult,0.0447793584867764
1995,2,adult,0.0265934808440106
1996,2,adult,0.0321727583358723
1997,2,adult,0.0354671971697166
1998,2,adult,0.083864586373309
1999,2,adult,0.0383372284347007
2000,2,adult,0.0696586544572367
2001,2,adult,0.0531274062668532
2002,2,adult,0.104432987932979
2003,2,adult,0.142294828592274
2004,2,adult,0.0726314494589328
2005,2,adult,0.0949906524255608
2006,2,adult,0.0828816294073407
2007,2,adult,0.0362818198104411
2008,2,adult,0.051670358345165
2009,2,adult,0.0445038154578802
2010,2,adult,0.0832055086074434
2011,2,adult,0.158822394894349
2012,2,adult,0.135272437922827
2013,2,adult,0.130502777614252
2014,2,adult,0.194964682929196
2015,2,adult,0.374497042239289
2016,2,adult,0.191030160325572
2017,2,adult,0.156408448060367
2018,2,adult,0.300240501542797
2019,2,adult,0.204542066217247
2020,2,adult,0.166521930243419
2021,2,adult,0.328686375871247
2022,2,adult,0.377063000272089
1954,all,adult,0.0050320932987831
1955,all,adult,0.00906890378075739
1956,all,adult,0.00633348937730334
1957,all,adult,0.0107467698060228
1958,all,adult,0.0159952797678427
1959,all,adult,0.0241155076971762
1960,all,adult,0.0274205101485817
1961,all,adult,0.0291796530882686
1962,all,adult,0.0396690840088617
1963,all,adult,0.0452740431612183
1964,all,adult,0.0493142035504534
1965,all,adult,0.0644027969957154
1966,all,adult,0.0991290903209185
1967,all,adult,0.110100784313573
1968,all,adult,0.0915717488431531
1969,all,adult,0.0813339429291167
1970,all,adult,0.114582633090423
1971,all,adult,0.155638880587251
1972,all,adult,0.173795310327908
1973,all,adult,0.200333276795862
1974,all,adult,0.18717220167922
1975,all,adult,0.111259216464317
1976,all,adult,0.0938912321344844
1977,all,adult,0.170045417252699
1978,all,adult,0.168055781455824
1979,all,adult,0.106810660564938
1980,all,adult,0.122108100714277
1981,all,adult,0.145712295143395
1982,all,adult,0.164233085655059
1983,all,adult,0.128276682233063
1984,all,adult,0.114899610876685
1985,all,adult,0.099174634533539
1986,all,adult,0.122026856888735
1987,all,adult,0.0977800101998809
1988,all,adult,0.144376169028964
1989,all,adult,0.130266055004964
1990,all,adult,0.0867271567997416
1991,all,adult,0.132707458444075
1992,all,adult,0.162523580081202
1993,all,adult,0.119375560976988
1994,all,adult,0.120098225232107
1995,all,adult,0.101222125072324
1996,all,adult,0.11760083493683
1997,all,adult,0.122988779521026
1998,all,adult,0.194033452742018
1999,all,adult,0.119933914754978
2000,all,adult,0.136767142531745
2001,all,adult,0.205522543420407
2002,all,adult,0.3374533271228
2003,all,adult,0.334215125431722
2004,all,adult,0.269050514419946
2005,all,adult,0.299828556324918
2006,all,adult,0.271340256222179
2007,all,adult,0.240417522328858
2008,all,adult,0.205961175659533
2009,all,adult,0.308996150805152
2010,all,adult,0.460571764383206
2011,all,adult,0.320339564629989
2012,all,adult,0.303625815635353
2013,all,adult,0.339339263952463
2014,all,adult,0.369093953265567
2015,all,adult,0.408649331016028
2016,all,adult,0.31860333703648
2017,all,adult,0.32940068830241
2018,all,adult,0.403108802803554
2019,all,adult,0.385612368289986
2020,all,adult,0.358440662893694
2021,all,adult,0.364085255746698
2022,all,adult,0.44705843116627
1954,1,juvenile,0.00171710164067158
1955,1,juvenile,0.0021820620947494
1956,1,juvenile,0.0013402436939559
1957,1,juvenile,0.00137820806396264
1958,1,juvenile,0.00314996439183061
1959,1,juvenile,0.00375619242915192
1960,1,juvenile,0.00395940295067381
1961,1,juvenile,0.00545940062139438
1962,1,juvenile,0.00602123952169194
1963,1,juvenile,0.00461973143197191
1964,1,juvenile,0.00533484054958764
1965,1,juvenile,0.00685193305108059
1966,1,juvenile,0.0129688859144234
1967,1,juvenile,0.0141737972343112
1968,1,juvenile,0.0106091616369705
1969,1,juvenile,0.0121463536760619
1970,1,juvenile,0.017102954037363
1971,1,juvenile,0.0223720226626901
1972,1,juvenile,0.0222798331973649
1973,1,juvenile,0.0357467240731703
1974,1,juvenile,0.041637024102192
1975,1,juvenile,0.0184245568916956
1976,1,juvenile,0.0135860943658527
1977,1,juvenile,0.0202737620128122
1978,1,juvenile,0.0233772080889879
1979,1,juvenile,0.0202803026628118
1980,1,juvenile,0.0293109459472294
1981,1,juvenile,0.0314146751257755
1982,1,juvenile,0.0283855350503023
1983,1,juvenile,0.0261655921655236
1984,1,juvenile,0.0331068626973878
1985,1,juvenile,0.0355303449420327
1986,1,juvenile,0.040386165400888
1987,1,juvenile,0.027768480871452
1988,1,juvenile,0.0457206741391082
1989,1,juvenile,0.131552772230619
1990,1,juvenile,0.0528995983529571
1991,1,juvenile,0.0391578954786028
1992,1,juvenile,0.0460070147674668
1993,1,juvenile,0.0375969002874399
1994,1,juvenile,0.0452610003489108
1995,1,juvenile,0.0337345620335991
1996,1,juvenile,0.0374788527029568
1997,1,juvenile,0.0311515205454997
1998,1,juvenile,0.0455204723746651
1999,1,juvenile,0.0306643937685958
2000,1,juvenile,0.0390131161867075
2001,1,juvenile,0.0428677860898589
2002,1,juvenile,0.0596157532780037
2003,1,juvenile,0.050172811865109
2004,1,juvenile,0.0478480087638597
2005,1,juvenile,0.0498112399386952
2006,1,juvenile,0.0384464792088638
2007,1,juvenile,0.030691436547313
2008,1,juvenile,0.0338276793407999
2009,1,juvenile,0.0513723669171872
2010,1,juvenile,0.0608099749279167
2011,1,juvenile,0.033184788246683
2012,1,juvenile,0.0351527322191653
2013,1,juvenile,0.0394205415279953
2014,1,juvenile,0.0384673147893897
2015,1,juvenile,0.036662030704666
2016,1,juvenile,0.0347779733196274
2017,1,juvenile,0.0510142732129475
2018,1,juvenile,0.0497325219183138
2019,1,juvenile,0.0431625054569432
2020,1,juvenile,0.0510843228232268
2021,1,juvenile,0.0357342194695206
2022,1,juvenile,0.0456613440343373
1954,2,juvenile,8.32224335711775e-13
1955,2,juvenile,8.32224335711775e-13
1956,2,juvenile,8.32224335711775e-13
1957,2,juvenile,3.25913927209511e-06
1958,2,juvenile,3.24048687817119e-05
1959,2,juvenile,2.90489450339635e-05
1960,2,juvenile,4.17503216580053e-05
1961,2,juvenile,0.000117650574748091
1962,2,juvenile,0.000635942409003818
1963,2,juvenile,0.00668724974250135
1964,2,juvenile,0.00352447903027584
1965,2,juvenile,0.002317935822514
1966,2,juvenile,0.00352955341718837
1967,2,juvenile,0.00285249076939591
1968,2,juvenile,0.00390189068199182
1969,2,juvenile,0.00486981006847905
1970,2,juvenile,0.00564264568863454
1971,2,juvenile,0.00516656771198131
1972,2,juvenile,0.00372014784134796
1973,2,juvenile,0.0091858351624487
1974,2,juvenile,0.00872774299740094
1975,2,juvenile,0.00194928095601533
1976,2,juvenile,0.00157565743932043
1977,2,juvenile,0.00349360271645016
1978,2,juvenile,0.00566625578608131
1979,2,juvenile,0.00308454627986683
1980,2,juvenile,0.00351159926178386
1981,2,juvenile,0.00607769752289378
1982,2,juvenile,0.00382915814082722
1983,2,juvenile,0.00341050019921686
1984,2,juvenile,0.0056629908181406
1985,2,juvenile,0.00260575206283733
1986,2,juvenile,0.00392747486373055
1987,2,juvenile,0.0110721347139572
1988,2,juvenile,0.00743651997006156
1989,2,juvenile,0.00376694452239884
1990,2,juvenile,0.00747672796709463
1991,2,juvenile,0.00804357615453615
1992,2,juvenile,0.0080205853026823
1993,2,juvenile,0.0114790606493623
1994,2,juvenile,0.0124225087885332
1995,2,juvenile,0.00707004171538627
1996,2,juvenile,0.00507047929216045
1997,2,juvenile,0.00336604034340319
1998,2,juvenile,0.00271453785379311
1999,2,juvenile,0.00577341421083433
2000,2,juvenile,0.00453593973004197
2001,2,juvenile,0.00895351813737147
2002,2,juvenile,0.0227711944224071
2003,2,juvenile,0.0241033441693781
2004,2,juvenile,0.021898304638711
2005,2,juvenile,0.023840271431538
2006,2,juvenile,0.0182972477438099
2007,2,juvenile,0.00812755502823236
2008,2,juvenile,0.0127482572040457
2009,2,juvenile,0.0121666435774699
2010,2,juvenile,0.00699608078033113
2011,2,juvenile,0.0116040380224882
2012,2,juvenile,0.0197223753691133
2013,2,juvenile,0.0220274129430666
2014,2,juvenile,0.0137881202410927
2015,2,juvenile,0.0339016206629721
2016,2,juvenile,0.0457996433388769
2017,2,juvenile,0.0345893195722525
2018,2,juvenile,0.023505648943148
2019,2,juvenile,0.0129184602981487
2020,2,juvenile,0.0251235824867703
2021,2,juvenile,0.0441364510523548
2022,2,juvenile,0.0032306062405174
1954,all,juvenile,0.00136289596879874
1955,all,juvenile,0.00176470221566324
1956,all,juvenile,0.00107190160612602
1957,all,juvenile,0.00109603092390184
1958,all,juvenile,0.00254176931137841
1959,all,juvenile,0.00302207380548973
1960,all,juvenile,0.00318238151594209
1961,all,juvenile,0.00437987007138167
1962,all,juvenile,0.00491198131914184
1963,all,juvenile,0.00499132560083264
1964,all,juvenile,0.00493702149770162
1965,all,juvenile,0.00591313496481326
1966,all,juvenile,0.0110925454090506
1967,all,juvenile,0.0119302242809973
1968,all,juvenile,0.00921620337386334
1969,all,juvenile,0.0105756283761246
1970,all,juvenile,0.0147303921322988
1971,all,juvenile,0.0189137308000173
1972,all,juvenile,0.0185582251422052
1973,all,juvenile,0.0304431616706186
1974,all,juvenile,0.0350606225571493
1975,all,juvenile,0.0150931581035628
1976,all,juvenile,0.0111587307020917
1977,all,juvenile,0.0169181499414564
1978,all,juvenile,0.0198868124382401
1979,all,juvenile,0.0169070472775627
1980,all,juvenile,0.0242025138150522
1981,all,juvenile,0.0262612818607308
1982,all,juvenile,0.0233098584143386
1983,all,juvenile,0.0217332402482543
1984,all,juvenile,0.0280723920277161
1985,all,juvenile,0.029509058759641
1986,all,juvenile,0.0336020529896715
1987,all,juvenile,0.0248086334145514
1988,all,juvenile,0.0386216690557384
1989,all,juvenile,0.108745782934012
1990,all,juvenile,0.0441835518555311
1991,all,juvenile,0.0333617734610515
1992,all,juvenile,0.0390161318412955
1993,all,juvenile,0.0326175229149134
1994,all,juvenile,0.0390961710172423
1995,all,juvenile,0.0287776506882768
1996,all,juvenile,0.0313555683639421
1997,all,juvenile,0.0258558520535097
1998,all,juvenile,0.037502768175869
1999,all,juvenile,0.0259988337581521
2000,all,juvenile,0.0326267262943657
2001,all,juvenile,0.0362809726830376
2002,all,juvenile,0.0521511404474785
2003,all,juvenile,0.0449277712016726
2004,all,juvenile,0.0425346582061226
2005,all,juvenile,0.0443699927734328
2006,all,juvenile,0.0341875891859965
2007,all,juvenile,0.0260139825090446
2008,all,juvenile,0.0293522743131259
2009,all,juvenile,0.0429669575821854
2010,all,juvenile,0.0488894592768106
2011,all,juvenile,0.0284412681414735
2012,all,juvenile,0.0317186813496029
2013,all,juvenile,0.0355929478538549
2014,all,juvenile,0.0335028309064403
2015,all,juvenile,0.0358944229677918
2016,all,juvenile,0.036492385108501
2017,all,juvenile,0.047633190280889
2018,all,juvenile,0.0445244518198955
2019,all,juvenile,0.0369813912832078
2020,all,juvenile,0.0457404096440023
2021,all,juvenile,0.0371810308960847
2022,all,juvenile,0.037474537170041
